constituency_name,parliament_seat_name,total_2021_electors,turnout,winner_party,winner_alliance,winner_candidate,winner_votes,winner_vote_pct,runnerup_party,runnerup_alliance,runnerup_candidate,runnerup_votes,runnerup_vote_pct,margin_votes,margin_pct
Binpur,Jhargram,224036,83.47%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalipada Soren,743478,49.87,Bharatiya Janata Party,National Democratic Alliance,Pranat Tudu,569430,38.2,|174048,|11.67
Bandwan,Jhargram,284840,83.47%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kalipada Soren,743478,49.87,Bharatiya Janata Party,National Democratic Alliance,Pranat Tudu,569430,38.2,|174048,|11.67
Balarampur (Purulia),Purulia,238113,78.39%,Bharatiya Janata Party,National Democratic Alliance,Jyotirmay Singh Mahato,578489,40.34,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shantiram Mahato,561410,39.15,|17079,|1.19
Baghmundi,Purulia,249613,78.39%,Bharatiya Janata Party,National Democratic Alliance,Jyotirmay Singh Mahato,578489,40.34,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shantiram Mahato,561410,39.15,|17079,|1.19
Joypur (Purulia),Purulia,249621,78.39%,Bharatiya Janata Party,National Democratic Alliance,Jyotirmay Singh Mahato,578489,40.34,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shantiram Mahato,561410,39.15,|17079,|1.19
Purulia,Purulia,258947,78.39%,Bharatiya Janata Party,National Democratic Alliance,Jyotirmay Singh Mahato,578489,40.34,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shantiram Mahato,561410,39.15,|17079,|1.19
Manbazar,Purulia,253708,78.39%,Bharatiya Janata Party,National Democratic Alliance,Jyotirmay Singh Mahato,578489,40.34,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shantiram Mahato,561410,39.15,|17079,|1.19
Kashipur,Purulia,238871,78.39%,Bharatiya Janata Party,National Democratic Alliance,Jyotirmay Singh Mahato,578489,40.34,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shantiram Mahato,561410,39.15,|17079,|1.19
Para,Purulia,243906,78.39%,Bharatiya Janata Party,National Democratic Alliance,Jyotirmay Singh Mahato,578489,40.34,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shantiram Mahato,561410,39.15,|17079,|1.19
Raghunathpur (Purulia),Bankura,259434,80.75%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Arup Chakraborty,641813,44.33,Bharatiya Janata Party,National Democratic Alliance,Subhas Sarkar,609035,42.07,|32778,|2.26
Saltora,Bankura,232517,80.75%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Arup Chakraborty,641813,44.33,Bharatiya Janata Party,National Democratic Alliance,Subhas Sarkar,609035,42.07,|32778,|2.26
Chhatna,Bankura,242770,80.75%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Arup Chakraborty,641813,44.33,Bharatiya Janata Party,National Democratic Alliance,Subhas Sarkar,609035,42.07,|32778,|2.26
Ranibandh,Bankura,255359,80.75%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Arup Chakraborty,641813,44.33,Bharatiya Janata Party,National Democratic Alliance,Subhas Sarkar,609035,42.07,|32778,|2.26
Raipur (Bankura),Bankura,224604,80.75%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Arup Chakraborty,641813,44.33,Bharatiya Janata Party,National Democratic Alliance,Subhas Sarkar,609035,42.07,|32778,|2.26
Taldangra,Bankura,233291,80.75%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Arup Chakraborty,641813,44.33,Bharatiya Janata Party,National Democratic Alliance,Subhas Sarkar,609035,42.07,|32778,|2.26
Bankura,Bankura,269289,80.75%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Arup Chakraborty,641813,44.33,Bharatiya Janata Party,National Democratic Alliance,Subhas Sarkar,609035,42.07,|32778,|2.26
Barjora,Bishnupur,250279,85.91%,Bharatiya Janata Party,National Democratic Alliance,Saumitra Khan,680130,44.93,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sujata Mondal,674563,44.56,|5567,|0.37
Onda,Bishnupur,256906,85.91%,Bharatiya Janata Party,National Democratic Alliance,Saumitra Khan,680130,44.93,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sujata Mondal,674563,44.56,|5567,|0.37
Bishnupur (Bankura),Bishnupur,219824,85.91%,Bharatiya Janata Party,National Democratic Alliance,Saumitra Khan,680130,44.93,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sujata Mondal,674563,44.56,|5567,|0.37
Katulpur,Bishnupur,246785,85.91%,Bharatiya Janata Party,National Democratic Alliance,Saumitra Khan,680130,44.93,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sujata Mondal,674563,44.56,|5567,|0.37
Indas,Bishnupur,242938,85.91%,Bharatiya Janata Party,National Democratic Alliance,Saumitra Khan,680130,44.93,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sujata Mondal,674563,44.56,|5567,|0.37
Sonamukhi,Bishnupur,233059,85.91%,Bharatiya Janata Party,National Democratic Alliance,Saumitra Khan,680130,44.93,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sujata Mondal,674563,44.56,|5567,|0.37
Khandaghosh,Bishnupur,242730,85.91%,Bharatiya Janata Party,National Democratic Alliance,Saumitra Khan,680130,44.93,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sujata Mondal,674563,44.56,|5567,|0.37
Burdwan Dakshin,Bardhaman–Durgapur,257940,80.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kirti Azad,720667,47.99,Bharatiya Janata Party,National Democratic Alliance,Dilip Ghosh,582686,38.8,|137981,|9.19
Raina,Bardhaman Purba,258742,82.85%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sharmila Sarkar,730302,48.11,Bharatiya Janata Party,National Democratic Alliance,Ashim Kumar Sarkar,559730,37.38,|160572,|10.72
Jamalpur,Bardhaman Purba,235793,82.85%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sharmila Sarkar,730302,48.11,Bharatiya Janata Party,National Democratic Alliance,Ashim Kumar Sarkar,559730,37.38,|160572,|10.72
Manteswar,Bardhaman–Durgapur,242229,80.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kirti Azad,720667,47.99,Bharatiya Janata Party,National Democratic Alliance,Dilip Ghosh,582686,38.8,|137981,|9.19
Kalna,Bardhaman Purba,241741,82.85%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sharmila Sarkar,730302,48.11,Bharatiya Janata Party,National Democratic Alliance,Ashim Kumar Sarkar,559730,37.38,|160572,|10.72
Memari,Bardhaman Purba,254236,82.85%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sharmila Sarkar,730302,48.11,Bharatiya Janata Party,National Democratic Alliance,Ashim Kumar Sarkar,559730,37.38,|160572,|10.72
Burdwan Uttar,Bardhaman–Durgapur,277026,80.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kirti Azad,720667,47.99,Bharatiya Janata Party,National Democratic Alliance,Dilip Ghosh,582686,38.8,|137981,|9.19
Bhatar,Bardhaman–Durgapur,246694,80.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kirti Azad,720667,47.99,Bharatiya Janata Party,National Democratic Alliance,Dilip Ghosh,582686,38.8,|137981,|9.19
Purbasthali Dakshin,Bardhaman Purba,248533,82.85%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sharmila Sarkar,730302,48.11,Bharatiya Janata Party,National Democratic Alliance,Ashim Kumar Sarkar,559730,37.38,|160572,|10.72
Purbasthali Uttar,Bardhaman Purba,252626,82.85%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sharmila Sarkar,730302,48.11,Bharatiya Janata Party,National Democratic Alliance,Ashim Kumar Sarkar,559730,37.38,|160572,|10.72
Katwa,Bardhaman Purba,267738,82.85%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Sharmila Sarkar,730302,48.11,Bharatiya Janata Party,National Democratic Alliance,Ashim Kumar Sarkar,559730,37.38,|160572,|10.72
Ketugram,Bolpur,258310,82.66%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Asit Kumar Mal,855633,55.98,Bharatiya Janata Party,National Democratic Alliance,Piya Saha,528380,34.57,|327253,|21.41
Mangalkot,Bolpur,251003,82.66%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Asit Kumar Mal,855633,55.98,Bharatiya Janata Party,National Democratic Alliance,Piya Saha,528380,34.57,|327253,|21.41
Ausgram,Bolpur,246956,82.66%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Asit Kumar Mal,855633,55.98,Bharatiya Janata Party,National Democratic Alliance,Piya Saha,528380,34.57,|327253,|21.41
Galsi,Bardhaman–Durgapur,256642,80.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kirti Azad,720667,47.99,Bharatiya Janata Party,National Democratic Alliance,Dilip Ghosh,582686,38.8,|137981,|9.19
Pandaveswar,Asansol,211960,73.27%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shatrughan Sinha,605645,46.53,Bharatiya Janata Party,National Democratic Alliance,S. S. Ahluwalia,546081,41.96,|59564,|4.78
Durgapur Purba,Bardhaman–Durgapur,256531,80.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kirti Azad,720667,47.99,Bharatiya Janata Party,National Democratic Alliance,Dilip Ghosh,582686,38.8,|137981,|9.19
Durgapur Paschim,Bardhaman–Durgapur,269303,80.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Kirti Azad,720667,47.99,Bharatiya Janata Party,National Democratic Alliance,Dilip Ghosh,582686,38.8,|137981,|9.19
Raniganj,Asansol,250813,73.27%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shatrughan Sinha,605645,46.53,Bharatiya Janata Party,National Democratic Alliance,S. S. Ahluwalia,546081,41.96,|59564,|4.78
Jamuria,Asansol,221419,73.27%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shatrughan Sinha,605645,46.53,Bharatiya Janata Party,National Democratic Alliance,S. S. Ahluwalia,546081,41.96,|59564,|4.78
Asansol Dakshin,Asansol,274245,73.27%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shatrughan Sinha,605645,46.53,Bharatiya Janata Party,National Democratic Alliance,S. S. Ahluwalia,546081,41.96,|59564,|4.78
Asansol Uttar,Asansol,275796,73.27%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shatrughan Sinha,605645,46.53,Bharatiya Janata Party,National Democratic Alliance,S. S. Ahluwalia,546081,41.96,|59564,|4.78
Kulti,Asansol,251671,73.27%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shatrughan Sinha,605645,46.53,Bharatiya Janata Party,National Democratic Alliance,S. S. Ahluwalia,546081,41.96,|59564,|4.78
Barabani,Asansol,225396,73.27%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Shatrughan Sinha,605645,46.53,Bharatiya Janata Party,National Democratic Alliance,S. S. Ahluwalia,546081,41.96,|59564,|4.78
Dubrajpur,Birbhum,241742,81.91%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Satabdi Roy,717961,47.0,Bharatiya Janata Party,National Democratic Alliance,Debtanu Bhattacharya,520311,34.06,|197650,|12.94
Suri,Birbhum,263557,81.91%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Satabdi Roy,717961,47.0,Bharatiya Janata Party,National Democratic Alliance,Debtanu Bhattacharya,520311,34.06,|197650,|12.94
Bolpur,Bolpur,273896,82.66%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Asit Kumar Mal,855633,55.98,Bharatiya Janata Party,National Democratic Alliance,Piya Saha,528380,34.57,|327253,|21.41
Nanoor,Bolpur,276777,82.66%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Asit Kumar Mal,855633,55.98,Bharatiya Janata Party,National Democratic Alliance,Piya Saha,528380,34.57,|327253,|21.41
Labhpur,Bolpur,240044,82.66%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Asit Kumar Mal,855633,55.98,Bharatiya Janata Party,National Democratic Alliance,Piya Saha,528380,34.57,|327253,|21.41
Sainthia,Birbhum,255959,81.91%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Satabdi Roy,717961,47.0,Bharatiya Janata Party,National Democratic Alliance,Debtanu Bhattacharya,520311,34.06,|197650,|12.94
Mayureswar,Bolpur,230682,82.66%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Asit Kumar Mal,855633,55.98,Bharatiya Janata Party,National Democratic Alliance,Piya Saha,528380,34.57,|327253,|21.41
Rampurhat,Birbhum,260812,81.91%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Satabdi Roy,717961,47.0,Bharatiya Janata Party,National Democratic Alliance,Debtanu Bhattacharya,520311,34.06,|197650,|12.94
Hansan,Birbhum,248113,81.91%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Satabdi Roy,717961,47.0,Bharatiya Janata Party,National Democratic Alliance,Debtanu Bhattacharya,520311,34.06,|197650,|12.94
Nalhati,Birbhum,244837,81.91%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Satabdi Roy,717961,47.0,Bharatiya Janata Party,National Democratic Alliance,Debtanu Bhattacharya,520311,34.06,|197650,|12.94
Murarai,Birbhum,263200,81.91%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Satabdi Roy,717961,47.0,Bharatiya Janata Party,National Democratic Alliance,Debtanu Bhattacharya,520311,34.06,|197650,|12.94
