constituency_name,parliament_seat_name,total_2021_electors,turnout,winner_party,winner_alliance,winner_candidate,winner_votes,winner_vote_pct,runnerup_party,runnerup_alliance,runnerup_candidate,runnerup_votes,runnerup_vote_pct,margin_votes,margin_pct
Harishchandrapur,Maldaha Uttar,252487,76.03%,Bharatiya Janata Party,National Democratic Alliance,Khagen Murmu,527023,37.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,449315,31.7,|77708,|5.48
Malatipur,Maldaha Uttar,231907,76.03%,Bharatiya Janata Party,National Democratic Alliance,Khagen Murmu,527023,37.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,449315,31.7,|77708,|5.48
Ratua,Maldaha Uttar,282451,76.03%,Bharatiya Janata Party,National Democratic Alliance,Khagen Murmu,527023,37.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,449315,31.7,|77708,|5.48
Manikchak,Maldaha Dakshin,253353,76.69%,Indian National Congress,Indian National Developmental Inclusive Alliance,Isha Khan Choudhury,572395,41.79,Bharatiya Janata Party,National Democratic Alliance,Sreerupa Mitra Chaudhury,444027,32.42,|128368,|9.37
Maldaha,Maldaha Uttar,245962,76.03%,Bharatiya Janata Party,National Democratic Alliance,Khagen Murmu,527023,37.18,Trinamool Congress,Indian National Developmental Inclusive Alliance,Prasun Banerjee,449315,31.7,|77708,|5.48
English Bazar,Maldaha Dakshin,275296,76.69%,Indian National Congress,Indian National Developmental Inclusive Alliance,Isha Khan Choudhury,572395,41.79,Bharatiya Janata Party,National Democratic Alliance,Sreerupa Mitra Chaudhury,444027,32.42,|128368,|9.37
Mothabari,Maldaha Dakshin,196324,76.69%,Indian National Congress,Indian National Developmental Inclusive Alliance,Isha Khan Choudhury,572395,41.79,Bharatiya Janata Party,National Democratic Alliance,Sreerupa Mitra Chaudhury,444027,32.42,|128368,|9.37
Sujapur,Maldaha Dakshin,251186,76.69%,Indian National Congress,Indian National Developmental Inclusive Alliance,Isha Khan Choudhury,572395,41.79,Bharatiya Janata Party,National Democratic Alliance,Sreerupa Mitra Chaudhury,444027,32.42,|128368,|9.37
Baisnabnagar,Maldaha Dakshin,246956,76.69%,Indian National Congress,Indian National Developmental Inclusive Alliance,Isha Khan Choudhury,572395,41.79,Bharatiya Janata Party,National Democratic Alliance,Sreerupa Mitra Chaudhury,444027,32.42,|128368,|9.37
Farakka,Maldaha Dakshin,227549,76.69%,Indian National Congress,Indian National Developmental Inclusive Alliance,Isha Khan Choudhury,572395,41.79,Bharatiya Janata Party,National Democratic Alliance,Sreerupa Mitra Chaudhury,444027,32.42,|128368,|9.37
Samserganj,Maldaha Dakshin,235576,76.69%,Indian National Congress,Indian National Developmental Inclusive Alliance,Isha Khan Choudhury,572395,41.79,Bharatiya Janata Party,National Democratic Alliance,Sreerupa Mitra Chaudhury,444027,32.42,|128368,|9.37
Suti,Jangipur,265418,75.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Khalilur Rahaman,544427,39.75,Indian National Congress,Indian National Developmental Inclusive Alliance,Murtaza Hossain,427790,31.23,|116637,|8.52
Jangipur,Jangipur,255064,75.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Khalilur Rahaman,544427,39.75,Indian National Congress,Indian National Developmental Inclusive Alliance,Murtaza Hossain,427790,31.23,|116637,|8.52
Raghunathganj,Jangipur,249559,75.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Khalilur Rahaman,544427,39.75,Indian National Congress,Indian National Developmental Inclusive Alliance,Murtaza Hossain,427790,31.23,|116637,|8.52
Sagardighi,Jangipur,236885,75.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Khalilur Rahaman,544427,39.75,Indian National Congress,Indian National Developmental Inclusive Alliance,Murtaza Hossain,427790,31.23,|116637,|8.52
Lalgola,Jangipur,234381,75.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Khalilur Rahaman,544427,39.75,Indian National Congress,Indian National Developmental Inclusive Alliance,Murtaza Hossain,427790,31.23,|116637,|8.52
Bhagabangola,Murshidabad,263765,81.52%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abu Taher Khan,682442,44.27,Communist Party of India (Marxist),Indian National Developmental Inclusive Alliance,Mohammed Salim,518227,33.62,|164215,|10.65
Raninagar,Murshidabad,256101,81.52%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abu Taher Khan,682442,44.27,Communist Party of India (Marxist),Indian National Developmental Inclusive Alliance,Mohammed Salim,518227,33.62,|164215,|10.65
Murshidabad,Murshidabad,268221,81.52%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abu Taher Khan,682442,44.27,Communist Party of India (Marxist),Indian National Developmental Inclusive Alliance,Mohammed Salim,518227,33.62,|164215,|10.65
Nabagram,Jangipur,251378,75.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Khalilur Rahaman,544427,39.75,Indian National Congress,Indian National Developmental Inclusive Alliance,Murtaza Hossain,427790,31.23,|116637,|8.52
Khargram,Jangipur,228923,75.72%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Khalilur Rahaman,544427,39.75,Indian National Congress,Indian National Developmental Inclusive Alliance,Murtaza Hossain,427790,31.23,|116637,|8.52
Burwan,Baharampur,217500,77.54%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Yusuf Pathan,524516,37.88,Indian National Congress,Indian National Developmental Inclusive Alliance,Adhir Ranjan Chowdhury,439494,31.74,|85022,|6.14
Kandi,Baharampur,238973,77.54%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Yusuf Pathan,524516,37.88,Indian National Congress,Indian National Developmental Inclusive Alliance,Adhir Ranjan Chowdhury,439494,31.74,|85022,|6.14
Bharatpur,Baharampur,243603,77.54%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Yusuf Pathan,524516,37.88,Indian National Congress,Indian National Developmental Inclusive Alliance,Adhir Ranjan Chowdhury,439494,31.74,|85022,|6.14
Rejinagar,Baharampur,259771,77.54%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Yusuf Pathan,524516,37.88,Indian National Congress,Indian National Developmental Inclusive Alliance,Adhir Ranjan Chowdhury,439494,31.74,|85022,|6.14
Beldanga,Baharampur,252944,77.54%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Yusuf Pathan,524516,37.88,Indian National Congress,Indian National Developmental Inclusive Alliance,Adhir Ranjan Chowdhury,439494,31.74,|85022,|6.14
Baharampur,Baharampur,260667,77.54%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Yusuf Pathan,524516,37.88,Indian National Congress,Indian National Developmental Inclusive Alliance,Adhir Ranjan Chowdhury,439494,31.74,|85022,|6.14
Hariharpara,Murshidabad,247421,81.52%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abu Taher Khan,682442,44.27,Communist Party of India (Marxist),Indian National Developmental Inclusive Alliance,Mohammed Salim,518227,33.62,|164215,|10.65
Naoda,Baharampur,247688,77.54%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Yusuf Pathan,524516,37.88,Indian National Congress,Indian National Developmental Inclusive Alliance,Adhir Ranjan Chowdhury,439494,31.74,|85022,|6.14
Domkal,Murshidabad,266283,81.52%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abu Taher Khan,682442,44.27,Communist Party of India (Marxist),Indian National Developmental Inclusive Alliance,Mohammed Salim,518227,33.62,|164215,|10.65
Jalangi,Murshidabad,261258,81.52%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abu Taher Khan,682442,44.27,Communist Party of India (Marxist),Indian National Developmental Inclusive Alliance,Mohammed Salim,518227,33.62,|164215,|10.65
Karimpur,Murshidabad,251039,81.52%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Abu Taher Khan,682442,44.27,Communist Party of India (Marxist),Indian National Developmental Inclusive Alliance,Mohammed Salim,518227,33.62,|164215,|10.65
Tehatta,Krishnanagar,252454,80.65%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mahua Moitra,628789,44.1,Bharatiya Janata Party,National Democratic Alliance,Amrita Roy,572084,40.13,|56705,|3.98
Palashipara,Krishnanagar,244867,80.65%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mahua Moitra,628789,44.1,Bharatiya Janata Party,National Democratic Alliance,Amrita Roy,572084,40.13,|56705,|3.98
Kaliganj,Krishnanagar,248358,80.65%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mahua Moitra,628789,44.1,Bharatiya Janata Party,National Democratic Alliance,Amrita Roy,572084,40.13,|56705,|3.98
Nakashipara,Krishnanagar,247691,80.65%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mahua Moitra,628789,44.1,Bharatiya Janata Party,National Democratic Alliance,Amrita Roy,572084,40.13,|56705,|3.98
Chapra,Krishnanagar,248014,80.65%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mahua Moitra,628789,44.1,Bharatiya Janata Party,National Democratic Alliance,Amrita Roy,572084,40.13,|56705,|3.98
Krishnanagar Uttar,Krishnanagar,238220,80.65%,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mahua Moitra,628789,44.1,Bharatiya Janata Party,National Democratic Alliance,Amrita Roy,572084,40.13,|56705,|3.98
Nabadwip,Ranaghat,243159,81.87%,Bharatiya Janata Party,National Democratic Alliance,Jagannath Sarkar,782396,50.78,Trinamool Congress,Indian National Developmental Inclusive Alliance,Mukut Mani Adhikari,595497,38.65,|186899,|12.13
