constituency,AITC+_candidate,AITC+_total_votes,AITC+_vote_share,BJP_candidate,BJP_total_votes,BJP_vote_share,Other_candidate,Other_total_votes,Other_vote_share
Murarai,DR. MOSARRAF HOSSAIN,96902,39.89,RINKI GHOSH,58664,24.15,SANJIBUR RAHAMAN (BAPPA),85849,35.33
Murshidabad,SHAONI SINGHA ROY,82922,34.91,GOURI SANKAR GHOSH,114443,48.18,ALI SIDDIQUE,39721,16.74
Nabadwip,PUNDARIKAKSHYA SAHA,87187,39.96,SRUTISEKHAR GOSWAMI,108631,49.79,SWARNENDU SINHA,20617,9.46
Nabagram,PRONAB CHANDRA DAS,72820,32.86,DILIP SAHA,78739,35.54,HIRU HALDAR,70021,31.6
Nagrakata,SANJAY KUJUR,77620,38.06,PUNA BHENGRA,103478,50.73,DIL KUMAR ORAON,22865,11.21
Naihati,SANAT DEY,67054,42.53,SUMITRO CHATTERJEE,77484,49.15,DEBAJYOTI MAJUMDER,12338,7.82
Nakashipara,KALLOL KHAN,83273,40.44,SANTANU DEY,100600,48.85,SUKLA SAHA,21774,10.57
Nalhati,RAJENDRA PRASAD SINGH(RAJU SINGH),87744,39.43,ANIL KUMAR SINGH,74298,33.39,DR ABDUL KARIM,60477,27.19
Nandakumar,SUKUMAR DE,100873,40.46,KHANRA NIRMAL,131476,52.73,CHANDAN MAITI,16377,6.58
Nandigram,PABITRA KAR,117636,46.55,ADHIKARI SUVENDU,127301,50.37,SANTI GOPAL GIRI,7493,2.96
Nanoor,BIDHAN CHANDRA MAJHI,119910,47.37,KHOKAN DAS,111788,44.16,SHYAMALI PRADHAN,21421,8.46
Narayangarh,PRATIBHA MAITI,95683,42.42,GIRI RAMAPRASAD,116050,51.45,TAPAS SINHA,13216,5.86
Natabari,SAILENDRA NATH BARMA,92298,39.66,GIRIJA SHANKAR RAY,126911,54.53,AKIK HASSAN,12456,5.36
Nayagram,DULAL MURMU,94433,45.46,AMIYA KISKU,100857,48.56,DR. PULIN BIHARI BASKE,10940,5.26
Noapara,TRINANKUR BHATTACHARJEE,76759,39.33,ARJUN SINGH,94415,48.37,GARGI CHATTERJEE,22567,11.56
Naoda,SAHINA MOMTAZ KHAN,51867,23.41,RANA MANDAL,58520,26.41,HUMAYUN KABIR,109721,49.51
Onda,SUBRATA DUTTA (GOPI),96573,39.21,AMARNATH SHAKHA,128296,52.09,ASIT BARAN SARMA,20557,8.35
Palashipara,RUKBANUR RAHMAN,89241,41.58,ANIMA DUTTA,77787,36.24,MD SAMSUR ALI MALLICK,47622,22.19
Panchla,GULSAN MULLICK,123967,52.72,RANJAN PAUL,85647,36.42,FARID MOLLAH,25081,10.66
Pandaveswar,NARENDRANATH CHAKRABORTY,79103,45.28,JITENDRA KUMAR TEWARI,80501,46.08,PRABIR KUMAR MONDAL,13119,7.52
Pandua,SAMIR CHAKRABORTY,96121,41.13,TUSAR KUMAR MAJUMDAR,101349,43.36,AMJAD HOSSAIN SK,35530,15.2
Panihati,TIRTHANKAR GHOSH,59141,33.8,RATNA DEBNATH,87977,50.28,KALATAN DASGUPTA,27247,15.57
Panskura Paschim,SIRAJ KHAN,105352,40.77,SINTU SENAPATI,137919,53.37,ABJAL ALI SHA,14118,5.46
Panskura Purba,ASHIM KUMAR MAJI,91361,41.39,SUBRATA MAITY(RANA),109264,49.5,SK IBRAHIM ALI,20112,9.1
Para,MANIK CHANDRA BAURI,79767,36.94,NADIAR CHAND BOURI,113488,52.55,ALOKE KUMAR BAURI,20479,9.48
Patashpur,PIJUS KANTI PANDA,107538,46.34,TAPAN MAITY,116589,50.24,SAIKAT GIRI,7921,3.42
Patharpratima,SAMIR KUMAR JANA,117164,47.62,ASIT KUMAR HALDAR,112291,45.64,SATYARANJAN DAS,16604,6.74
Phansidewa,REENA TOPNO EKKA,72978,35.13,DURGA MURMU,118241,56.92,NAVANEETA TIRKEY,14744,7.1
Pingla,AJIT MAITY,105709,43.55,SWAGATA MANNA,124189,51.16,ASHOK SEN,11757,4.85
Purbasthali Dakshin,SWAPAN DEBNATH,94342,42.87,PRAN KRISHNA TAPADAR,111004,50.44,JIYADUL SEKH,14710,6.69
Purbasthali Uttar,VASUNDHARA GOSWAMI,81153,36.09,GOPAL CHATTOPADHYAY,111379,49.53,PRADIP KUMAR SAHA,30905,13.74
Pursurah,PARTHA HAZARI,85368,35.43,BIMAN GHOSH,138821,57.62,SANDIP KUMAR SAMANTA,15785,6.55
Purulia,SUJOY BANERJEE,79201,34.34,SUDIP KUMAR MUKHERJEE,128454,55.69,SAYANTAN GHOSH,22412,9.71
Raghunathganj,AKHRUZZAMAN,88909,45.65,SUROJIT PODDAR,35184,18.06,NASIR SAIKH,70672,36.29
Raghunathpur (Purulia),HAZARI BOURI,83569,35.65,MAMONI BAURI,127628,54.44,GANESH BOURI,22048,9.41
Raidighi,TAPAS MONDAL S/O-SHIBPRASAD MONDAL,118991,46.16,PALASH RANA,113034,43.85,SAMYA GANGULY,24038,9.32
Raiganj,KRISHNA KALYANI,46920,28.47,KOUSHIK CHOWDHURY,105561,64.05,MOHIT SENGUPTA,11703,7.09
Raina,MANDIRA DALUI,102653,44.01,SUBHASH PATRA,103487,44.37,SOMNATH MAJI,25055,10.74
Raipur (Bankura),THAKURMANI SAREN,82701,39.34,KSHETRAMOHAN HANSDA,111443,53.01,RAMCHANDRA MANDI,16071,7.64
Rajarhat Gopalpur,ADITI MUNSHI,73520,37.56,TARUNJYOTI TEWARI,101277,51.74,SUBHAJIT DASGUPTA,20452,10.44
Rajarhat New Town,TAPASH CHATTERJEE,106255,42.07,PIYUSH KANODIA,106564,42.19,SAPTARSHI DEB,38135,15.1
Rajganj,SWAPNA BARMAN,93180,41.53,DINESH SARKAR,114657,51.1,KHARENDRA NATH ROY,13648,6.09
Ramnagar (Purba Medinipur),AKHIL GIRI,104869,42.83,DR. CHANDRA SEKHAR MONDAL,131808,53.83,ASOKE KUMAR MAITI,7778,3.18
Rampurhat,ASISH BANERJEE,87687,37.52,DHRUBA SAHA,111920,47.89,SANJIB MALLICK,31775,13.59
Ranaghat Dakshin,SOUGATA KUMAR BURMAN,75546,32.47,ASHIM KUMAR BISWAS,140010,60.17,ARINDAM BISWAS,16656,7.16
Ranaghat Uttar Paschim,TAPAS KUMAR GHOSH,71495,32.93,PARTHA SARATHI CHATTERJEE(BABU),129046,59.43,DEBASISH  CHAKRABORTY(DEBU),15416,7.1
Ranaghat Uttar Purba,BARNALI DEY ROY,74492,35.24,ASHIM BISWAS,126235,59.71,MRINAL BISWAS (MINI),9747,4.61
Ranibandh,TANUSHREE HANSDA,78876,33.31,KSHUDIRAM TUDU,131145,55.38,DEBLINA HEMBRAM,23243,9.81
Raniganj,KALOBARAN MONDAL,79630,40.53,PARTHA GHOSH,97416,49.58,NARAN BAURI,18789,9.56
Raninagar,ABDUL SOUMIK HOSSAIN,76722,32.34,RANAPRATAP SINGHA ROY,22728,9.58,JULFIKAR ALI,134675,56.76
Rashbehari,DEBASISH KUMAR (DEBA),53258,38.37,DASGUPTA SWAPAN,74123,53.4,MANAS GHOSH,10699,7.71
Ratua,SAMAR MUKHERJEE,106834,45.82,ABISHEK SINGHANIA,74272,31.86,ALAM MOTTAKIN,49334,21.16
Rejinagar,ATAUR RAHAMAN,41718,17.43,BAPAN GHOSH,64660,27.02,HUMAYUN KABIR,132917,55.53
Sabang,MANAS RANJAN BHUNIA,116647,45.33,AMAL KUMAR PANDA,127783,49.66,NAKUL CHANDRA BERA,12692,4.92
Sagar,BANKIM CHANDRA HAZRA,119921,46.46,SUMANTA MANDAL,127802,49.52,SWAPAN SINGHA,10384,4.02
Sagardighi,BAYRON BISWAS,90781,43.72,TAPAS KUMAR CHAKRABORTY,56521,27.22,MASIUR RAHAMAN,59171,28.49
Sainthia,NILABATI SAHA,104748,43.43,KRISHNA KANTA SAHA,115054,47.71,DEBU CHUNARI,21373,8.85
Salboni,SRIKANTA MAHATA,117613,44.14,BIMAN MAHATA,132856,49.86,MOHAN TUDU,16006,6.0
Saltora,UTTAM BAURI,83045,38.01,CHANDANA BAURI,115180,52.72,NANDADULAL BAURI,20266,9.29
Samserganj,MOHAMMED NOOR ALAM,61918,39.84,SASTI CHARAN GHOSH,34522,22.21,MD NAJME ALAM,57638,37.08
Sandeshkhali,JHARNA SARDAR,89679,41.48,SANAT SARDAR,107189,49.58,RABINDRA NATH MAHATA,17496,8.09
Sankrail,PRIYA PAUL,105412,45.99,BARNALI DHALI NASKAR,88672,38.69,SAMIR MALICK,33714,14.71
Santipur,BRAJAKISHORE GOSWAMI,72565,33.76,SWAPAN KUMAR DAS,117941,54.86,SOUMEN MAHATO,22220,10.32
Saptagram,BIDESH RANJAN BOSE,79125,40.25,SWARAJ GHOSH,102414,52.1,ANIRBAN SARKAR,13877,7.06
Satgachhia,SOMASHREE BETAL,110622,46.21,AGNISWAR NASKAR,111023,46.38,GOUTAM PAL,17060,7.13
Shibpur,DR. RANA CHATTERJEE,73557,40.57,RUDRANIL GHOSH,89615,49.42,DR. JAGANNATH BHATTACHARYYA,17395,9.6
Shyampukur,SHASHI PANJA,45615,39.06,PURNIMA CHAKRABORTY,60248,51.6,JHUMA DAS,10232,8.76
Shyampur,NADEBASI JANA,103391,42.26,DR. HIRANMOY CHATTOPADHYAYA (HIRAAN),125651,51.36,ASIT BARAN SAU,13359,5.46
Siliguri,GOUTAM DEB,47568,25.91,SHANKAR GHOSH,120760,65.78,SARADINDU CHAKRABORTY (JOY),14291,7.79
Singur,BECHARAM MANNA,91570,41.14,ARUP KUMAR DAS,113008,50.77,DEBASHIS CHATTERJEE,17744,7.99
Sitai,SANGITA ROY,128188,48.31,ASHUTOSH BARMA,125467,47.29,RABIN ROY,11125,4.19
Sitalkuchi,HARIHAR DAS,119089,42.56,SABITRI BARMAN,144367,51.59,NAMADIPTI ROY ADHIKARY,14415,5.15
Sonamukhi,KALLOL SAHA,86139,38.83,DIBAKAR GHARAMI,115549,52.08,AJIT RAY,17217,7.77
Sonarpur Dakshin,ARUNDHUTI MAITRA(LOVELY),93188,37.82,RUPA GANGULY,128970,52.34,PARAMITA DASGUPTA,22415,9.09
Sonarpur Uttar,FIRDOUSI BEGAM,110017,42.9,DEBASISH DHAR,119824,46.73,MONALISA SINHA,24886,9.7
Sreerampur,TANMOY GHOSH,76959,41.31,BHASKAR BHATTACHARYA,85644,45.97,NABANITA CHAKRABORTY,22682,12.18
Sujapur,SABINA YEASMIN,112795,49.66,ABHIJIT RAJAK,20066,8.83,ABDUL HANNAN,90970,40.05
Suri,UJJAL CHATTERJEE,95557,40.07,JAGANNATH CHATTOPADHYAY,124243,52.09,MOTIUR RAHAMAN,15901,6.68
Suti,EMANI BISWAS,81330,36.83,MAHABIR GHOSH,68973,31.23,ALFAJUDDIN BISWAS,68914,31.21
Swarupnagar,BINA MONDAL,94813,43.47,TARAK SAHA,78796,36.13,BISWAJIT  MONDAL,43641,20.0
Taldangra,FALGUNI SINGHABABU,74464,33.86,SOUVIK PATRA,124537,56.62,DEBKANTI MAHANTI,20375,9.26
Tamluk,DIPENDRA NARAYAN ROY,101837,39.64,HARE KRISHNA BERA,136566,53.15,NABENDU GHARA,17877,6.96
Tapan,CHINTAMANI BIHA,68793,36.85,BUDHRAI TUDU,105780,56.66,BAPPAI HORO,10973,5.87
Tarakeswar,RAMENDU SINHARAY,85902,38.77,SANTU PAN,116901,52.76,ADESH KHAMRUI,15114,6.82
Tehatta,DILIP KUMAR PODDAR,83885,35.91,SUBRATA KABIRAJ,112138,48.01,SUBODH CHANDRA BISWAS,36597,15.66
Tollyganj,AROOP BISWAS,82394,40.06,PAPIA ADHIKARY,88407,42.99,PARTHA PRATIM BISWAS,34252,16.66
Tufanganj,SHIBSANKAR PAUL,96068,41.62,MALATI RAVA ROY,122525,53.08,DHANANJOY RAVA,10783,4.68
Udaynarayanpur,SAMIR KUMAR PANJA,105802,49.53,PROBHAKAR PANDIT,93575,43.81,SASTHI MAJI,12981,6.08
Uluberia Dakshin,PULAK ROY,109649,48.46,SWAMI MANGALANANDA PURI,92462,40.86,AMIRUL ISLAM KHAN,22084,9.75
Uluberia Purba,RITABRATA BANERJEE,95633,45.97,RUDRA PROSAD BANERJEE,83795,40.28,NASIR KHAN,26928,12.95
Uluberia Uttar,BIMAL KUMAR DAS,89143,43.81,CHIRAN BERA,93320,45.87,ASHOK DALUI,19168,9.42
Uttarpara,SIRSANYA BANDOPADHYAY,70197,34.17,DIPANJAN CHAKRABORTY,80612,39.24,MINAKSHI MUKHERJEE,54261,26.42
