constituency,AITC+_candidate,AITC+_total_votes,AITC+_vote_share,BJP_candidate,BJP_total_votes,BJP_vote_share,Other_candidate,Other_total_votes,Other_vote_share
Haripal,KARABI MANNA,109844,44.65,MADHUMITA GHOSH,113332,46.07,SK.MUJAFFAR ALI  (MAJA),19270,7.84
Harirampur,BIPLAB MITRA,93098,45.62,DEBABRATA MAJUMDER,91112,44.65,SUBHASISH PAL (SONA),18375,9.0
Harishchandrapur,MD. MATIBUR RAHAMAN,113104,49.8,RATAN DAS,64833,28.55,MOSTAQUE ALAM,47978,21.13
Haroa,ABDUL MATIN MUHAMMAD,117591,49.52,BHASKAR KUMAR MONDAL,41144,17.33,PIYARUL ISLAM,75878,31.95
Hemtabad,SATYAJIT BARMAN,103168,43.1,HARIPADA BARMAN,115529,48.26,ANAMIKA ROY,18217,7.64
Hingalganj,ANANDA SARKAR,94786,45.77,REKHA PATRA,100207,48.39,SANGITA MANDAL,10680,5.16
Howrah Dakshin,NANDITA CHOWDHURY,100540,45.28,SHYAMAL KUMAR HATI,92712,41.75,ABHIJIT BANERJEE,27024,12.17
Howrah Madhya,ARUP ROY,95948,49.6,BIPLAB KUMAR MANDAL,79865,41.28,IMTEAZ AHMED,16619,8.58
Howrah Uttar,GAUTAM CHOWDHURY,56289,42.3,UMESH RAI,67539,50.76,GAUTAM RAY,8511,6.4
Indas,SHYAMALI ROY BAGDI,107833,46.4,NIRMAL KUMAR DHARA,108733,46.79,JHARNA MALLIK,12289,5.29
Islampur,AGARWAL KANAIA LAL,108117,58.14,CHITRAJIT ROY,68054,36.6,MD. SAMI KHAN,8972,4.84
Itahar,MOSARAF HUSSEN,98172,48.09,SABITA BARMAN,70294,34.43,AMAL ACHARJEE,33385,16.35
Jadavpur,DEBABRATA MAJUMDAR (MALAY),78483,33.96,SARBORI MUKHERJEE,106199,45.96,BIKASHRANJAN BHATTACHARYA,45361,19.63
Jagatballavpur,SUBIR CHATTERJEE (TINKAI),108937,43.14,ANUPAM GHOSH,115608,45.78,NAZIRA KHATUN,26903,10.66
Jagatdal,SOMENATH SHYAM ICHINI,73442,40.09,DR. RAJESH KUMAR,94351,51.5,PARVEZ AHMAD KHAN,13595,7.43
Jalangi,BABAR ALI,88684,35.01,NABA KUMAR SARKAR,51693,20.41,IANUS ALI SARKAR,112929,44.58
Jalpaiguri,KRISHNA DAS,74182,31.19,ANANTA DEB ADHIKARY,142987,60.11,DEBRAJ BARMAN,19238,8.09
Jamalpur,BHUTNATH MALIK,88758,41.33,ARUN HALDER,99936,46.53,SAMAR HAZRA,25386,11.82
Jamuria,HARERAM SINGH,67636,37.25,DR. BIJAN MUKHERJEE,90150,49.64,MD. SABBIR HUSSAIN,21783,12.0
Jangipara,SNEHASIS CHAKRABORTY,101547,43.72,PROSENJIT BAG,102409,44.09,SUDIPTA SARKAR,26751,11.53
Jangipur,JAKIR HOSSAIN,80659,37.94,CHITTA MUKHERJEE,91201,42.9,MOHAMMAD IMRAN ALI,40746,19.16
Jaynagar,BISWANATH DAS,108194,49.38,ALOKE HALDER,81844,37.35,APURBA PRAMANIK (APU),26998,12.32
Jhargram,MONGAL SAREN,82730,37.44,LAKSHMI KANTA SAU,120877,54.71,ARJUN KUMAR MAHATA,13893,6.28
Jorasanko,VIJAY UPADHYAY,47071,44.05,VIJAY OJHA,52868,49.48,BHARATRAM TEWARI,6427,6.01
Joypur (Purulia),ARJUN MAHATO,82450,35.36,BISWAJIT MAHATO,104668,44.88,PHANIBHUSHAN KUMAR,44479,19.07
